state,2018,2019,2020
Andhra Pradesh,64,67,72
Arunachal Pradesh,51,53,60
Assam,49,55,57
Bihar,48,50,52
chhattisgarh,58,56,61
Goa,64,65,72
Gujarat,64,64,69
Harayana,58,57,67
Himachal Pradesah,69,69,74
Jharkhand,50,53,56
Karanataka,64,66,72
kerela,69,70,75
Madhaya Prades,52,58,62
Maharshtra,64,64,70
Manipur,58,60,64
Meghalkaya,52,54,60
Mizoram,59,56,68
Nagaland,51,57,61
Odisha,51,58,61
Punjab,60,62,68
Rajasthan,59,57,60
Sikkim,58,65,71
Tamil Nadu,66,67,74
Telengana,61,67,69
Trpura,55,58,65
Uttar Pradesh,42,55,60
Uttrakhand,60,64,72
West Bengal,58,60,62
A and N islands,58,61,67
Chnadigarh,68,70,79
D and N haweli,57,63,62
Daman and Diue,63,61,62
delhi,62,61,68
Jammu and Kashmir,53,59,66
Lakshdweep,62,63,68
Puducherry,65,66,68
India,57,60,66
